subj_idx,response,rt,study,phase,offer,rev_con,rev_cat
301,1,1.275541132,Juror,group,fair,1,One
301,0,1.323572443,Juror,group,fair,3,Three
301,1,1.373265519,Juror,alone,amb,NA,Alone
301,1,0.925720476,Juror,group,unfair,4,Four
301,0,1.160738818,Juror,group,fair,0,Zero
301,0,0.814759576,Juror,group,fair,0,Zero
301,1,0.957660567,Juror,group,unfair,2,Two
301,0,1.831585196,Juror,alone,fair,NA,Alone
301,1,0.727692655,Juror,group,amb,1,One
301,0,1.090016807,Juror,alone,fair,NA,Alone
301,1,0.824587346,Juror,group,unfair,3,Three
301,1,0.681936791,Juror,alone,amb,NA,Alone
301,1,0.664592946,Juror,group,unfair,2,Two
301,1,0.642049989,Juror,group,amb,0,Zero
301,1,1.608160141,Juror,group,fair,3,Three
301,1,0.663517099,Juror,group,unfair,1,One
301,1,0.610303391,Juror,group,amb,3,Three
301,1,0.6378068,Juror,group,fair,2,Two
301,1,1.349142639,Juror,group,unfair,0,Zero
301,1,0.565427199,Juror,group,fair,3,Three
301,1,0.654128917,Juror,alone,amb,NA,Alone
301,1,0.641665963,Juror,group,unfair,2,Two
301,1,1.261432283,Juror,group,fair,4,Four
301,1,0.553207089,Juror,group,unfair,3,Three
301,1,0.601916585,Juror,group,amb,3,Three
301,1,0.609550023,Juror,group,amb,2,Two
301,1,0.602092484,Juror,group,amb,0,Zero
301,1,0.891523589,Juror,group,unfair,3,Three
301,1,0.515651898,Juror,group,fair,0,Zero
301,1,0.550187088,Juror,alone,unfair,NA,Alone
301,0,0.6436101,Juror,alone,fair,NA,Alone
301,1,0.578127508,Juror,group,amb,2,Two
301,1,0.608443684,Juror,alone,unfair,NA,Alone
301,0,0.784078318,Juror,group,fair,1,One
301,1,1.059544552,Juror,group,amb,4,Four
301,1,0.945754567,Juror,group,unfair,2,Two
301,1,0.571375462,Juror,group,amb,2,Two
301,0,0.870760619,Juror,group,fair,4,Four
301,0,0.893959129,Juror,group,amb,2,Two
301,1,0.606810447,Juror,group,unfair,0,Zero
301,1,0.651501913,Juror,group,amb,2,Two
301,0,0.722735148,Juror,group,fair,2,Two
301,1,1.310443403,Juror,group,amb,3,Three
301,0,0.720085189,Juror,group,fair,2,Two
301,1,0.701241728,Juror,alone,unfair,NA,Alone
301,1,0.972539304,Juror,group,fair,1,One
301,1,0.624912525,Juror,group,unfair,4,Four
